Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam NL;Ruimtenaam EN;Soort studieplek;Email adres gebouw;Email adres onderwijszaal;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep
SSP00019;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.05.T0.450;E-T0-450;E-T0-450;STUDIEPLAATSEN;Study Spot;aanlandstudieplek;Building-34@tudelft.nl;;52.000461;4.372337;B;16;1;16;16;0;0;16;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00020;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;tussenverdieping 1e;34.05.T1.450;E-T1-450;E-T1-450;STUDIEPLAATSEN;Study Spot;aanlandstudieplek;Building-34@tudelft.nl;;52.000461;4.372337;B;16;1;16;16;0;0;16;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00021;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;1e verdieping;34.03.01.010;C-1-010;C-1-010;STUDIEPLEKKEN;Study Spot;aanlandstudieplek;Building-34@tudelft.nl;;52.001591;4.371567;B;16;16;1;0;16;0;16;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;>25m;0-25m;nee
SSP00022;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;1e verdieping;34.05.01.450;E-1-450;E-1-450;STUDIEPLEKKEN;Study Spot;aanlandstudieplek;Building-34@tudelft.nl;;52.000461;4.372337;B;16;1;16;16;0;0;16;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00023;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.03.00.010;C-0-010;C-0-010;STUDIEPLEKKEN;Study Spot;onderwijsruimte;Building-34@tudelft.nl;;52.001591;4.371567;B;104;13;8;0;104;0;52;2;rustig;nee;ja;ja (>/= 1 pp);nee;nee;ja;nee;nee;0-25m;0-25m;0-25m;nee
SSP00024;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.03.T0.010;C-T0-010;C-T0-010;STUDIEPLEKKEN;Study Spot;aanlandstudieplek;Building-34@tudelft.nl;;52.001591;4.371567;B;16;1;16;16;0;0;16;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00025;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;tussenverdieping 1e;34.03.T1.010;C-T1-010;C-T1-010;STUDIEPLEKKEN;Study Spot;aanlandstudieplek;Building-34@tudelft.nl;;52.001591;4.371567;B;16;16;1;0;16;0;16;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;>25m;0-25m;nee
SSP00026;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;4e verdieping;34.03.04.180;C-4-180;C-4-180;STUDIERUIMTE;Study Spot;concentratiestudieplek;Building-34@tudelft.nl;;52.001822;4.371453;A;80;16;5;80;0;0;80;1;stil;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00027;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;4e verdieping;34.05.04.180;E-4-180;E-4-180;STUDIERUIMTE;Study Spot;concentratiestudieplek;Building-34@tudelft.nl;;52.000722;4.372185;A;80;16;5;80;0;0;80;1;stil;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;0-25m;nee
SSP00028;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.02.00.150;B-0-150;B-0-150;STUDIERUIMTE;Study Spot;onderwijsruimte;Building-34@tudelft.nl;;52.001299;4.371912;B;48;6;8;0;48;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00029;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.02.00.170;B-0-170;B-0-170;STUDIERUIMTE;Group room;groepswerkplek;Building-34@tudelft.nl;;52.001299;4.371912;B;8;1;8;0;8;0;4;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;ja;nee;nee;0-25m;0-25m;0-25m;nee
SSP00030;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;begane grond;34.02.00.180;B-0-180;B-0-180;STUDIERUIMTE;Study Spot;onderwijsruimte;Building-34@tudelft.nl;;52.001299;4.371912;B;48;6;8;0;48;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00031;34 - 3mE;34 - Mechanical, Maritime and Materials Engineering;34 - 3mE;3mE;3mE;1e verdieping;34.01.01.320;A-1-320;A-1-320;WACHTRUIMTE;Waiting room;informeel zitje;Building-34@tudelft.nl;;52.001140;4.371737;C;12;3;4;0;13;4;3;1;rustig;nee;nee;ja (<1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00032;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.00.00.180;00.180;00.180;HAL;Corridor;informeel zitje;Building-20@tudelft.nl;;52.002141;4.373462;C;17;2;4;0;8;15;4;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00033;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.00.01.250;00.250;00.250;KANTOOR - KAMER;Coffee corner;horecaplek;Building-20@tudelft.nl;;52.001952;4.373581;C;2;0;0;0;0;2;0;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;>25m;>25m;nee
SSP00034;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.00.00.400;00.400;00.400;MEETING ROOM;Restaurant;horecaplek;Building-20@tudelft.nl;;52.002304;4.373861;C;32;8;4;0;32;1;8;1;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00035;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.00.01.255;00.255;00.255;PROJECT ROOM Noord 1;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;6;3;2;0;6;0;3;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00036;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.00.01.260;00.260;00.260;PROJECT ROOM Noord 2;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;6;2;3;0;6;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00037;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.00.01.270;00.270;00.270;PROJECT ROOM Noord 3;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;8;2;4;0;8;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00038;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;20.00.01.280;00.280;00.280;PROJECT ROOM Noord 4;Group room;groepswerkplek;Building-20@tudelft.nl;;52.002325;4.373297;B;8;2;4;0;8;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00039;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.00.00.270;00.270;00.270;RESTAURANT;Restaurant;horecaplek;Building-20@tudelft.nl;;52.002304;4.373861;C;14;2;7;14;0;0;8;1;rumoerig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00040;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;20.00.00.270;00.270;00.270;RESTAURANT;Restaurant;horecaplek;Building-20@tudelft.nl;;52.002304;4.373861;C;415;122;3;0;366;49;122;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00041;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.02.01.620;01.Oost.620;01.Oost.620;BERLAGE INSTITUUT;Study Spot;informeel zitje;Building-08@tudelft.nl;;52.006645;4.371294;C;22;7;3;0;22;0;7;1;rustig;nee;ja;ja (<1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;ja
SSP00042;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.01.01.010;01.Mid.010;01.Mid.010;BIBLIOTHEEK;Library;aanlandstudieplek;Building-08@tudelft.nl;;52.005665;4.370518;B;17;1;17;0;17;0;17;1;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee
SSP00043;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.01.01.100;01.Mid.100;01.Mid.100;BIBLIOTHEEK;Library;concentratiestudieplek;Building-08@tudelft.nl;;52.005665;4.370518;A;16;2;8;16;0;0;16;1;stil;nee;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;nee
SSP00044;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.01.01.100;01.Mid.100;01.Mid.100;BIBLIOTHEEK;Library;concentratiestudieplek;Building-08@tudelft.nl;;52.005665;4.370518;A;20;1;20;20;0;0;20;1;stil;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;nee
SSP00045;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.01.01.803;01.Mid.803;01.Mid.803;BIBLIOTHEEK;Library;concentratiestudieplek;Building-08@tudelft.nl;;52.005665;4.370518;A;7;1;7;0;7;0;7;1;stil;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;>25m;nee
SSP00046;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.01.01.803;01.Mid.803;01.Mid.803;BIBLIOTHEEK;Library;informeel zitje;Building-08@tudelft.nl;;52.005665;4.370518;C;10;3;3;0;0;10;10;1;stil;nee;nee;nee;nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee
SSP00047;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;tussenverdieping 1e;08.01.T1.010;01.Mid.010;01.Mid.010;BIBLIOTHEEK;Library;informeel zitje;Building-08@tudelft.nl;;52.005665;4.370518;C;5;0;0;0;0;5;5;1;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00048;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;tussenverdieping 1e;08.01.T1.020;01.Mid.020;01.Mid.020;BIBLIOTHEEK;Library;informeel zitje;Building-08@tudelft.nl;;52.005665;4.370518;C;7;0;0;0;0;7;7;1;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00049;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;tussenverdieping 1e;08.01.T1.030;01.Mid.030;01.Mid.030;BIBLIOTHEEK;Library;concentratiestudieplek;Building-08@tudelft.nl;;52.005665;4.370518;A;24;3;8;24;0;0;24;1;stil;nee;ja;ja (>/= 1 pp);nee;ja;nee;nee;nee;>25m;>25m;>25m;nee
SSP00050;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;tussenverdieping 1e;08.01.T1.030;01.Mid.030;01.Mid.030;BIBLIOTHEEK;Library;concentratiestudieplek;Building-08@tudelft.nl;;52.005665;4.370518;A;12;1;12;12;0;0;12;1;stil;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;>25m;>25m;>25m;nee
SSP00051;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.03.02.380;02.West.380;02.West.380;GANG;Corridor;informeel zitje;Building-08@tudelft.nl;;52.005505;4.370063;C;4;0;0;0;0;4;2;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00052;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.251;BG.Oost.251;BG.Oost.251;GANG;Corridor;informeel zitje;Building-08@tudelft.nl;;52.005971;4.371312;C;4;2;2;4;0;2;4;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00053;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.00.310;BG.Zuid.310;BG.Zuid.310;KANTOOR - KAMER;@WORK;aanlandstudieplek;Building-08@tudelft.nl;;52.005506;4.371188;B;24;7;4;0;24;0;24;1;rumoerig;nee;nee;ja (<1 pp);nee;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00054;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.800;BG.Oost.800;BG.Oost.800;OOSTSERRE;OOSTSERRE;onderwijsruimte;Building-08@tudelft.nl;;52.006151;4.371033;B;88;11;8;88;0;16;88;2;rumoerig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00055;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.03.00.200;BG.West.200;BG.West.200;PROTOSPACELAB;PROTOSPACELAB;onderwijsruimte;Building-08@tudelft.nl;;52.005147;4.370706;B;30;10;3;5;25;0;15;2;rustig;nee;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00056;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.02.00.760;BG.Oost.760;BG.Oost.760;RESTAURANT;Coffee corner;horecaplek;Building-08@tudelft.nl;;52.006259;4.371339;C;36;18;3;0;52;0;36;1;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00057;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.00.300;BG.Zuid.300;BG.Zuid.300;RESTAURANT;Restaurant;horecaplek;Building-08@tudelft.nl;;52.005366;4.371160;C;130;23;6;0;138;0;52;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00058;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;08.04.00.400;BG.Zuid.400;BG.Zuid.400;RESTAURATANT;Restaurant;horecaplek;Building-08@tudelft.nl;;52.005366;4.371160;C;38;19;2;0;38;0;21;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee
SSP00059;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.02.01.330;01.Oost.330;01.Oost.330;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005998;4.370806;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00060;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.02.01.560;01.Oost.560;01.Oost.560;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006645;4.371294;B;100;10;10;100;0;0;80;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00061;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;1e verdieping;08.03.01.430;01.West.430;01.West.430;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005249;4.370151;B;110;11;10;90;23;8;60;2;stil;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00062;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.01.02.010;02.Mid.010;02.Mid.010;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005791;4.370676;B;80;8;10;80;5;0;70;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00063;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.01.02.110;02.Mid.110;02.Mid.110;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005583;4.370396;B;103;10;10;100;6;0;88;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;>25m;ja
SSP00064;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.02.02.010;02.Oost.010;02.Oost.010;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005714;4.371330;B;110;11;10;110;6;0;96;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00065;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.02.02.300;02.Oost.300;02.Oost.300;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.005998;4.370806;B;114;11;10;100;8;6;84;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00066;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.02.02.400;02.Oost.400;02.Oost.400;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006275;4.370794;B;148;15;10;140;8;0;124;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
SSP00067;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;08.02.02.470;02.Oost.470;02.Oost.470;STUDY ROOM/AREA;Study Spot;onderwijsruimte;Building-08@tudelft.nl;;52.006275;4.370794;B;40;4;10;30;10;0;28;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja
